2026-03-17 22:54:39 | INFO | portfolio |   Regime: BEAR | 80% Markowitz + 20% RL
2026-03-17 22:54:39 | INFO | portfolio |   Running Markowitz optimization...
2026-03-17 22:54:39 | INFO | portfolio |   ✓ Markowitz: return=18.43% vol=13.96% sharpe=0.962
2026-03-17 22:54:39 | INFO | portfolio | 
============================================================
2026-03-17 22:54:39 | INFO | portfolio | PORTFOLIO ALLOCATION
2026-03-17 22:54:39 | INFO | portfolio | ============================================================
2026-03-17 22:54:39 | INFO | portfolio |   Regime  : BEAR (confidence 100%)
2026-03-17 22:54:39 | INFO | portfolio |   Blend   : 80% Markowitz + 20% RL
2026-03-17 22:54:39 | INFO | portfolio |   Sharpe  : 0.962
2026-03-17 22:54:39 | INFO | portfolio | 
2026-03-17 22:54:39 | INFO | portfolio |   FINAL WEIGHTS:
2026-03-17 22:54:39 | INFO | portfolio |     JNJ    ██████████ 25.04%
2026-03-17 22:54:39 | INFO | portfolio |     GOOGL  ████████ 22.46%
2026-03-17 22:54:39 | INFO | portfolio |     SILVER ██████ 16.34%
2026-03-17 22:54:39 | INFO | portfolio |     AMD    █ 4.54%
2026-03-17 22:54:39 | INFO | portfolio |     WMT    █ 2.68%
2026-03-17 22:54:39 | INFO | portfolio |     COST    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     BTC     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     PFE     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     AAPL    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     KO      0.85%
2026-03-17 22:54:39 | INFO | portfolio |     UNH     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     AMZN    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     GOLD    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     BNB     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     XOM     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     US30Y_ETF  0.85%
2026-03-17 22:54:39 | INFO | portfolio |     SOL     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     TSLA    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     ETH     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     JPM     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     BRK-B   0.85%
2026-03-17 22:54:39 | INFO | portfolio |     NFLX    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     META    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     NVDA    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     MSFT    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     US10Y_ETF  0.85%
2026-03-17 22:54:39 | INFO | portfolio |     ABBV    0.85%
2026-03-17 22:54:39 | INFO | portfolio |     CVX     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     V       0.85%
2026-03-17 22:54:39 | INFO | portfolio |     HY_ETF  0.85%
2026-03-17 22:54:39 | INFO | portfolio |     BAC     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     OIL     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     CRM     0.85%
2026-03-17 22:54:39 | INFO | portfolio |     NATGAS  0.85%
